Model,Image,IOU,Dice
default,04230255_04230613_04230856_ch4.jpg,0.0,0.0
default,05080211_05080528_05080803_ch4.jpg,0.0,0.0
default,08190243_08190601_08190855_ch4.jpg,0.0,0.0
default,08211016_08211338_08211519_ch4.jpg,0.0,0.0
default,08220814_08221005_08221328_ch4.jpg,0.0,0.0
default,03022237_03030155_03030226_ch4.jpg,0.0,0.0
default,12300143_12300500_12300756_ch4.jpg,0.0,0.0
default,08170150_08170507_08170734_ch4.jpg,0.0,0.0
default,04052229_04060147_04060245_ch4.jpg,0.0,0.0
default,04092234_04100152_04100253_ch4.jpg,0.0,0.0
p1e1,04230255_04230613_04230856_ch4.jpg,0.0,0.0
p1e1,05080211_05080528_05080803_ch4.jpg,0.0,0.0
p1e1,08190243_08190601_08190855_ch4.jpg,0.0,0.0
p1e1,08211016_08211338_08211519_ch4.jpg,0.0,0.0
p1e1,08220814_08221005_08221328_ch4.jpg,0.0,0.0
p1e1,03022237_03030155_03030226_ch4.jpg,0.0,0.0
p1e1,12300143_12300500_12300756_ch4.jpg,0.0,0.0
p1e1,08170150_08170507_08170734_ch4.jpg,0.0,0.0
p1e1,04052229_04060147_04060245_ch4.jpg,0.0,0.0
p1e1,04092234_04100152_04100253_ch4.jpg,0.0,0.0
p1e3,04230255_04230613_04230856_ch4.jpg,0.0,0.0
p1e3,05080211_05080528_05080803_ch4.jpg,0.0,0.0
p1e3,08190243_08190601_08190855_ch4.jpg,0.0,0.0
p1e3,08211016_08211338_08211519_ch4.jpg,0.0,0.0
p1e3,08220814_08221005_08221328_ch4.jpg,0.0,0.0
p1e3,03022237_03030155_03030226_ch4.jpg,0.0,0.0
p1e3,12300143_12300500_12300756_ch4.jpg,0.0,0.0
p1e3,08170150_08170507_08170734_ch4.jpg,0.0,0.0
p1e3,04052229_04060147_04060245_ch4.jpg,0.0,0.0
p1e3,04092234_04100152_04100253_ch4.jpg,0.0,0.0
p1e5,04230255_04230613_04230856_ch4.jpg,0.0,0.0
p1e5,05080211_05080528_05080803_ch4.jpg,0.0,0.0
p1e5,08190243_08190601_08190855_ch4.jpg,0.0,0.0
p1e5,08211016_08211338_08211519_ch4.jpg,0.0,0.0
p1e5,08220814_08221005_08221328_ch4.jpg,0.0,0.0
p1e5,03022237_03030155_03030226_ch4.jpg,0.0,0.0
p1e5,12300143_12300500_12300756_ch4.jpg,0.0,0.0
p1e5,08170150_08170507_08170734_ch4.jpg,0.0,0.0
p1e5,04052229_04060147_04060245_ch4.jpg,0.0,0.0
p1e5,04092234_04100152_04100253_ch4.jpg,0.0,0.0
p2e3,04230255_04230613_04230856_ch4.jpg,0.0,0.0
p2e3,05080211_05080528_05080803_ch4.jpg,0.0,0.0
