Model,Image,IOU,Dice
default,11271246_11271427_11271746_ch4.jpg,0.5353972172200314,0.6974054807646637
default,12042203_12050122_12050255_ch4.jpg,0.7061653615361213,0.8277806799457417
default,11270923_11271246_11271427_ch4.jpg,0.5362245671836232,0.6981070067987383
default,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.4217270529741759,0.5932602212104577
default,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.4733938786802913,0.6425897182419502
p1e1,11271246_11271427_11271746_ch4.jpg,0.6168928743251448,0.7630596734278049
p1e1,12042203_12050122_12050255_ch4.jpg,0.7714886434931539,0.8710060279831937
p1e1,11270923_11271246_11271427_ch4.jpg,0.5600807703826772,0.7180150938534974
p1e1,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.4358141709521153,0.607062083337872
p1e1,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.5018583963688982,0.6683165304828482
p1e3,11271246_11271427_11271746_ch4.jpg,0.0,0.0
p1e3,12042203_12050122_12050255_ch4.jpg,0.0,0.0
p1e3,11270923_11271246_11271427_ch4.jpg,0.0,0.0
p1e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.0,0.0
p1e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.0,0.0
p1e5,11271246_11271427_11271746_ch4.jpg,0.46913002645963586,0.6386501099431788
p1e5,12042203_12050122_12050255_ch4.jpg,0.6239437284115,0.7684302325202188
p1e5,11270923_11271246_11271427_ch4.jpg,0.4907125331986959,0.6583597068788972
p1e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.4070663774480382,0.578602948620412
p1e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.5450867271095337,0.7055742794830074
p2e3,11271246_11271427_11271746_ch4.jpg,0.5026529285459561,0.6690206620531446
p2e3,12042203_12050122_12050255_ch4.jpg,0.7602318719442749,0.8637860546230833
p2e3,11270923_11271246_11271427_ch4.jpg,0.5801809864370883,0.73432219652921
p2e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.4200092432367066,0.5915584637735962
p2e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.5901608364088653,0.7422655908714909
p2e5,11271246_11271427_11271746_ch4.jpg,0.4867266103732376,0.6547627613271099
p2e5,12042203_12050122_12050255_ch4.jpg,0.7881118886726922,0.8815017602256471
p2e5,11270923_11271246_11271427_ch4.jpg,0.4823920259121194,0.6508292239568712
p2e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.4088310027738664,0.5803833134973798
p2e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.568534056864584,0.7249240835752758
p3e1,11271246_11271427_11271746_ch4.jpg,0.5726272212460751,0.7282427946177258
p3e1,12042203_12050122_12050255_ch4.jpg,0.672017218046487,0.8038400691012536
p3e1,11270923_11271246_11271427_ch4.jpg,0.5787115624617403,0.7331441362972411
p3e1,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.4139676272211174,0.5855404596987719
p3e1,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.5061818101940506,0.6721390562123919
p3e3,11271246_11271427_11271746_ch4.jpg,0.5059624455573558,0.6719456345674004
p3e3,12042203_12050122_12050255_ch4.jpg,0.6785402696304336,0.8084885205403248
p3e3,11270923_11271246_11271427_ch4.jpg,0.5753007430521767,0.7304011574799616
p3e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.43646965231787693,0.6076977005585781
p3e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.5425457866042054,0.7034420518545226
p3e5,11271246_11271427_11271746_ch4.jpg,0.5575272776807135,0.7159133399074944
p3e5,12042203_12050122_12050255_ch4.jpg,0.6022186086706528,0.7517308879221025
p3e5,11270923_11271246_11271427_ch4.jpg,0.5687911625605365,0.7251330529325162
p3e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.42211144072575696,0.5936404540987837
p3e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.45364217173918686,0.6241455848744866
p4e1,11271246_11271427_11271746_ch4.jpg,0.5539891707857292,0.7129897443308704
p4e1,12042203_12050122_12050255_ch4.jpg,0.6883708833426927,0.8154261485247046
p4e1,11270923_11271246_11271427_ch4.jpg,0.5867387330833186,0.7395530478331235
p4e1,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.47472465869833513,0.6438146346821794
p4e1,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.47367809909407693,0.6428515147036031
p4e3,11271246_11271427_11271746_ch4.jpg,0.5585551691838847,0.7167602151374137
p4e3,12042203_12050122_12050255_ch4.jpg,0.5850531746382666,0.7382126782866886
p4e3,11270923_11271246_11271427_ch4.jpg,0.5632655216498462,0.7206268082409756
p4e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.39714391171266633,0.5685082379607321
p4e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.4461888329136417,0.6170547341521141
p4e5,11271246_11271427_11271746_ch4.jpg,0.6380838920205799,0.7790613107531411
p4e5,12042203_12050122_12050255_ch4.jpg,0.5903858045128072,0.742443503755573
p4e5,11270923_11271246_11271427_ch4.jpg,0.5841153202208608,0.7374656538760349
p4e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.3990797877993326,0.5704889617868911
p4e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.4138682573510242,0.585441048271971
p4e6,11271246_11271427_11271746_ch4.jpg,0.6392857701561204,0.7799564685969754
p4e6,12042203_12050122_12050255_ch4.jpg,0.6051645424264572,0.7540218169928627
p4e6,11270923_11271246_11271427_ch4.jpg,0.5622310265569817,0.7197796190184352
p4e6,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.35780074644331566,0.5270298272858592
p4e6,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.3878236184242652,0.5588946798075105
p4e7,11271246_11271427_11271746_ch4.jpg,0.6307204616251143,0.7735482278753798
p4e7,12042203_12050122_12050255_ch4.jpg,0.6400181248428488,0.7805012824528109
p4e7,11270923_11271246_11271427_ch4.jpg,0.5698042532011278,0.7259558025010941
p4e7,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.37649036898861726,0.5470294271150554
p4e7,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.4261419945402866,0.5976150988775174
p5e1,11271246_11271427_11271746_ch4.jpg,0.6323742468654481,0.7747907663696104
p5e1,12042203_12050122_12050255_ch4.jpg,0.5113199486593446,0.6766534764699218
p5e1,11270923_11271246_11271427_ch4.jpg,0.5639891976052248,0.721218789066834
p5e1,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.3476575191087525,0.5159434265445558
p5e1,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.3537817301829526,0.5226569723837858
p5e3,11271246_11271427_11271746_ch4.jpg,0.6659798495402636,0.799505287802904
p5e3,12042203_12050122_12050255_ch4.jpg,0.5750512894223172,0.730200080828135
p5e3,11270923_11271246_11271427_ch4.jpg,0.581519922548742,0.7353937364400412
p5e3,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.3958603075440587,0.5671918678460793
p5e3,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.4066794383065545,0.5782119610650451
p5e5,11271246_11271427_11271746_ch4.jpg,0.6306977896014035,0.7735311761912266
p5e5,12042203_12050122_12050255_ch4.jpg,0.580479564705503,0.7345613036302258
p5e5,11270923_11271246_11271427_ch4.jpg,0.5773576653709521,0.73205675294344
p5e5,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.36249535147486217,0.5321050836356562
p5e5,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.40572487248153183,0.5772464874514229
p5e6,11271246_11271427_11271746_ch4.jpg,0.6254691746663783,0.7695860178889625
p5e6,12042203_12050122_12050255_ch4.jpg,0.588202908103912,0.7407150624174872
p5e6,11270923_11271246_11271427_ch4.jpg,0.5743523470762805,0.7296363462002727
p5e6,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.3829206656549465,0.5537854414426536
p5e6,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.40147857836892226,0.572935733111488
p5e7,11271246_11271427_11271746_ch4.jpg,0.6247692574308188,0.7690559808089191
p5e7,12042203_12050122_12050255_ch4.jpg,0.5967763748664443,0.747476458519571
p5e7,11270923_11271246_11271427_ch4.jpg,0.5641475412841208,0.7213482441956488
p5e7,12170733_12170818_12170915_12171056_12171335_ch4.jpg,0.35252524113331307,0.5212845282472123
p5e7,12160744_12160842_12160925_12161247_12161359_ch4.jpg,0.42525880709586505,0.5967460856633899
