Image Name,IOU,Dice,mIoU,mDice
03022237_03030155_03030226_ch4.jpg,0.5068845621468407,0.6727583185598348,0.3856561859744384,0.5505340902631966
04052229_04060147_04060245_ch4.jpg,0.3858348174959533,0.5568265606042618,0.3856561859744384,0.5505340902631966
04092234_04100152_04100253_ch4.jpg,0.536217532113889,0.6981010448123645,0.3856561859744384,0.5505340902631966
04230255_04230613_04230856_ch4.jpg,0.27296394101563415,0.428863587130127,0.3856561859744384,0.5505340902631966
05080211_05080528_05080803_ch4.jpg,0.39267014585613114,0.5639097628745977,0.3856561859744384,0.5505340902631966
08170150_08170507_08170734_ch4.jpg,0.3299623490518389,0.49619803039849475,0.3856561859744384,0.5505340902631966
08190243_08190601_08190855_ch4.jpg,0.28600291726372046,0.4447935746090845,0.3856561859744384,0.5505340902631966
08211016_08211338_08211519_ch4.jpg,0.27431402729457194,0.4305281452122965,0.3856561859744384,0.5505340902631966
08220814_08221005_08221328_ch4.jpg,0.41088161296179415,0.5824466194569659,0.3856561859744384,0.5505340902631966
12300143_12300500_12300756_ch4.jpg,0.46082995454401027,0.6309152589739382,0.3856561859744384,0.5505340902631966
